ZipCode,Category,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
60624,Playground,4,13,0.315789474,4,Count of playgrounds
60625,Playground,4,9,0.526315789,16,Count of playgrounds
60626,Playground,4,10,0.473684211,11,Count of playgrounds
60628,Playground,4,9,0.526315789,16,Count of playgrounds
60629,Playground,4,6,0.684210526,29,Count of playgrounds
60630,Playground,4,9,0.526315789,16,Count of playgrounds
60631,Playground,4,6,0.684210526,29,Count of playgrounds
60632,Playground,4,6,0.684210526,29,Count of playgrounds
60633,Playground,4,2,0.894736842,46,Count of playgrounds
60634,Playground,4,4,0.789473684,40,Count of playgrounds
60636,Playground,4,6,0.684210526,29,Count of playgrounds
60637,Playground,4,12,0.368421053,8,Count of playgrounds
60638,Playground,4,10,0.473684211,11,Count of playgrounds
60639,Playground,4,9,0.526315789,16,Count of playgrounds
60640,Playground,4,4,0.789473684,40,Count of playgrounds
60641,Playground,4,6,0.684210526,29,Count of playgrounds
60642,Playground,4,0,1,48,Count of playgrounds
60643,Playground,4,13,0.315789474,4,Count of playgrounds
